"","Genes","Re_Set","Re_direction","De_Set","De_direction"
"3","Xele.ptg000001l.3","ReT04","Up-regulated","DeT12","Down-regulated"
"4","Xele.ptg000001l.5","ReT12","Up-regulated","DeT12","Down-regulated"
"6","Xele.ptg000001l.7","ReT08","Up-regulated","DeT72","Down-regulated"
"8","Xele.ptg000001l.9","None","None","DeT06","Down-regulated"
"10","Xele.ptg000001l.12","None","None","DeT12","Down-regulated"
"11","Xele.ptg000001l.14","ReT12","Up-regulated","DeT72","Down-regulated"
"12","Xele.ptg000001l.15","ReT48","Up-regulated","None","None"
"13","Xele.ptg000001l.16","ReT02","Up-regulated","DeT12","Down-regulated"
"14","Xele.ptg000001l.17","ReT04","Down-regulated","DeT03","Up-regulated"
"15","Xele.ptg000001l.18","ReT48","Down-regulated","DeT12","Up-regulated"
"17","Xele.ptg000001l.20","ReT48","Down-regulated","DeT03","Up-regulated"
"18","Xele.ptg000001l.21","None","None","DeT03","Up-regulated"
"22","Xele.ptg000001l.25","ReT02","Down-regulated","DeT03","Up-regulated"
"23","Xele.ptg000001l.26","ReT48","Down-regulated","DeT03","Up-regulated"
"24","Xele.ptg000001l.27","ReT12","Up-regulated","DeT72","Down-regulated"
"26","Xele.ptg000001l.29","ReT08","Up-regulated","DeT72","Down-regulated"
"27","Xele.ptg000001l.30","None","None","DeT12","Down-regulated"
"28","Xele.ptg000001l.31","ReT08","Up-regulated","DeT03","Down-regulated"
"31","Xele.ptg000001l.34","ReT02","Up-regulated","DeT12","Down-regulated"
"33","Xele.ptg000001l.36","ReT12","Down-regulated","DeT06","Down-regulated"
"34","Xele.ptg000001l.38","ReT08","Up-regulated","DeT09","Down-regulated"
"37","Xele.ptg000001l.41","ReT48","Down-regulated","None","None"
"40","Xele.ptg000001l.44","None","None","DeT12","Up-regulated"
"41","Xele.ptg000001l.45","None","None","DeT06","Up-regulated"
"42","Xele.ptg000001l.46","None","None","DeT12","Down-regulated"
"45","Xele.ptg000001l.49","None","None","DeT12","Down-regulated"
"46","Xele.ptg000001l.50","None","None","DeT09","Down-regulated"
"47","Xele.ptg000001l.51","ReT08","Down-regulated","DeT12","Up-regulated"
"48","Xele.ptg000001l.52","None","None","DeT12","Up-regulated"
"49","Xele.ptg000001l.53","None","None","DeT03","Up-regulated"
"50","Xele.ptg000001l.54","ReT12","Down-regulated","DeT09","Down-regulated"
"51","Xele.ptg000001l.55","ReT02","Up-regulated","DeT12","Down-regulated"
"52","Xele.ptg000001l.58","None","None","DeT03","Up-regulated"
"53","Xele.ptg000001l.59","ReT08","Up-regulated","DeT03","Down-regulated"
"58","Xele.ptg000001l.67","ReT04","Up-regulated","DeT12","Down-regulated"
"61","Xele.ptg000001l.70","ReT08","Down-regulated","None","None"
"64","Xele.ptg000001l.73","ReT04","Up-regulated","DeT12","Down-regulated"
"67","Xele.ptg000001l.77","ReT48","Up-regulated","None","None"
"68","Xele.ptg000001l.78","ReT02","Up-regulated","DeT03","Down-regulated"
"69","Xele.ptg000001l.79","ReT04","Up-regulated","DeT03","Down-regulated"
"70","Xele.ptg000001l.81","ReT02","Up-regulated","DeT09","Down-regulated"
"71","Xele.ptg000001l.82","ReT12","Up-regulated","DeT03","Down-regulated"
"72","Xele.ptg000001l.84","ReT08","Down-regulated","DeT03","Up-regulated"
"73","Xele.ptg000001l.85","ReT08","Down-regulated","DeT03","Up-regulated"
"78","Xele.ptg000001l.90","ReT08","Down-regulated","DeT03","Up-regulated"
"80","Xele.ptg000001l.92","ReT12","Down-regulated","DeT72","Up-regulated"
"81","Xele.ptg000001l.93","ReT48","Up-regulated","DeT12","Down-regulated"
