,ID,Gene,Description,Full,Ontology_id,Ontology_term,moduleColor
1,Xele.ptg000001l.3,NA,XP_023873308.1uncharacterized protein LOC111985897,NA,NA,NA,Cluster 4
2,Xele.ptg000001l.5,NA,XP_039132086.1uncharacterized protein LOC120268892,NA,NA,NA,Cluster 2
3,Xele.ptg000001l.7,NA,XP_052180284.1uncharacterized protein LOC127793562,NA,NA,NA,Cluster 8
4,Xele.ptg000001l.9,HHT4,NA,Uncharacterized acetyltransferase At3g50280,"GO:0005737,GO:0008374,GO:0016410,GO:0006725,GO:0042221,GO:0044249,GO:0050789,GO:0090626,GO:1901360,GO:1901576","cytoplasm,O-acyltransferase activity,N-acyltransferase activity,cellular aromatic compound metabolic process,response to chemical,cellular biosynthetic process,regulation of biological process,plant epidermis morphogenesis,organic cyclic compound metabolic process,organic substance biosynthetic process",Cluster 11
5,Xele.ptg000001l.12,FTSH3,NA,"ATP-dependent zinc metalloprotease FTSH 9, chloroplastic","GO:0009535,GO:0004176,GO:0004222,GO:0005524,GO:0008270,GO:0016887,GO:0006508,GO:0010206","chloroplast thylakoid membrane,ATP-dependent peptidase activity,metalloendopeptidase activity,ATP binding,zinc ion binding,ATP hydrolysis activity,proteolysis,photosystem II repair",Cluster 4
6,Xele.ptg000001l.15,ARID2,NA,AT-rich interactive domain-containing protein 2,"GO:0000118,GO:0005515""","histone deacetylase complex,protein binding",Cluster 2
7,Xele.ptg000001l.16,OPS,NA,Protein OCTOPUS,"GO:0016020,GO:0048856""","membrane,anatomical structure development",Cluster 2
8,Xele.ptg000001l.17,LOC103695500,XP_020102147.1uncharacterized protein LOC109719751,NA,NA,NA,Cluster 1
9,Xele.ptg000001l.18,LOC109719181,XP_019706283.2acyl-coenzyme A thioesterase 13 isoform X1,NA,GO:0047617,acyl-CoA hydrolase activity,Cluster 1
10,Xele.ptg000001l.20,DET2,NA,Protein DEETIOLATED 2,"GO:0016020,GO:0009917,GO:0047751,GO:0010268,GO:0016093,GO:0016132,GO:0090377,GO:0090378","membrane,sterol 5-alpha reductase activity,3-oxo-5alpha-steroid 4-dehydrogenase (NADP+),brassinosteroid homeostasis,polyprenol metabolic process,brassinosteroid biosynthetic process,seed trichome initiation,seed trichome elongation",Cluster 1
11,Xele.ptg000001l.21,NCER1,NA,Neutral ceramidase,"GO:0005576,GO:0017040,GO:0102121,GO:0034599,GO:0042759,GO:0046512,GO:0046514,GO:0090156","extracellular region,N-acylsphingosine amidohydrolase activity,ceramidase activity,cellular response to oxidative stress,long-chain fatty acid biosynthetic process,sphingosine biosynthetic process,ceramide catabolic process,intracellular sphingolipid homeostasis",Cluster 7
12,Xele.ptg000001l.25,HSP17.9A,NA,16.9 kDa class I heat shock protein 2,"GO:0005737,GO:0032991,GO:0042802,GO:0043621,GO:0044183,GO:0051082,GO:0006457,GO:0009651,GO:0010286,GO:0042542,GO:0045471,GO:0046685,GO:0046686,GO:0046688,GO:0050821,GO:0051259""","cytoplasm,protein-containing complex,identical protein binding,protein self-association,protein folding chaperone,unfolded protein binding,protein folding,response to salt stress,heat acclimation,response to hydrogen peroxide,response to ethanol,response to arsenic-containing substance,response to cadmium ion,response to copper ion,protein stabilization,protein complex oligomerization",Cluster 1
13,Xele.ptg000001l.26,NA,XP_020276617.1uncharacterized protein LOC109850943,NA,NA,NA,Cluster 1
14,Xele.ptg000001l.27,LAC12,NA,Laccase-24,"GO:0005576,GO:0016491,GO:0046872,GO:0009809,GO:0010228,GO:0046688,GO:1990641","extracellular region,oxidoreductase activity,metal ion binding,lignin biosynthetic process,vegetative to reproductive phase transition of meristem,response to copper ion,response to iron ion starvation",Cluster 8
15,Xele.ptg000001l.29,LOC105052149,XP_010905985.1uncharacterized protein LOC105033039,NA,NA,NA,Cluster 2
16,Xele.ptg000001l.30,NA,XP_010923183.1uncharacterized protein LOC105046322 isoform X2,NA,NA,NA,Cluster 2
17,Xele.ptg000001l.31,UGT85A23,NA,7-deoxyloganetic acid glucosyltransferase,"GO:0005622,GO:0050403,GO:0050502,GO:0006950,GO:0007154,GO:0009605,GO:0010033,GO:0048731,GO:0050789,GO:1900994,GO:1901701","intracellular anatomical structure,trans-zeatin O-beta-D-glucosyltransferase activity,cis-zeatin O-beta-D-glucosyltransferase activity,response to stress,cell communication,response to external stimulus,response to organic substance,system development,regulation of biological process,(-)-secologanin biosynthetic process,cellular response to oxygen-containing compound",Cluster 2
18,Xele.ptg000001l.34,NA,XP_020577241.1uncharacterized protein LOC110022570 isoform X1,NA,NA,NA,Cluster 2
19,Xele.ptg000001l.36,NA,XP_039144457.1uncharacterized protein LOC120281828 isoform X3,NA,NA,NA,Cluster 6
