Sequence Name,Sequence Description,Blast Top Hit Description (HSP),Blast Min E-Value,Blast Hit Taxonomy Name,Annotation GO ID,Annotation GO Term,Enzyme Code,Enzyme Name,InterPro Accession,InterPro Name
Xele.ptg000001l.548_1,RecName: Full=Protein RADIALIS-like 3; Short=AtRL3; Short=Protein RAD-like 3 [Arabidopsis thaliana],sp|Q6NNN0.1|RecName: Full=Protein RADIALIS-like 3 Short=AtRL3 Short=Protein RAD-like 3 [Arabidopsis thaliana],1.4E-26,Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana,GO:0000976;GO:0003700;GO:0005515;GO:0005634;GO:0009414;GO:0009630;GO:0009739;GO:0009751;GO:0009787;GO:0009793;GO:0010114;GO:0010116;GO:0045893;GO:1901001;GO:1901371;GO:1905615,transcription cis-regulatory region binding;DNA-binding transcription factor activity;protein binding;nucleus;response to water deprivation;gravitropism;response to gibberellin;response to salicylic acid;regulation of abscisic acid-activated signaling pathway;embryo development ending in seed dormancy;response to red light;positive regulation of abscisic acid biosynthetic process;positive regulation of DNA-templated transcription;negative regulation of response to salt stress;regulation of leaf morphogenesis;positive regulation of developmental vegetative growth,,,noIPR;noIPR;IPR001005;IPR044636;IPR001005;IPR017884;IPR001005;IPR009057,Tetratricopeptide-like helical domain superfamily;Tetratricopeptide-like helical domain superfamily;SANT/Myb domain;Transcription factor RADIALIS-like;SANT/Myb domain;SANT domain;SANT/Myb domain;Homedomain-like superfamily
Xele.ptg000001l.584_1,RecName: Full=Probable calcium-binding protein CML16; AltName: Full=Calmodulin-like protein 16 [Arabidopsis thaliana],sp|Q9LI84.2|RecName: Full=Probable calcium-binding protein CML16 AltName: Full=Calmodulin-like protein 16 [Arabidopsis thaliana],1.8E-74,Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana/Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana/Arabidopsis thaliana/Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana,GO:0000325;GO:0003729;GO:0005509;GO:0005515;GO:0005634;GO:0005829;GO:0005874;GO:0005886;GO:0006979;GO:0009266;GO:0009414;GO:0009617;GO:0009651;GO:0009652;GO:0009737;GO:0010099;GO:0019222;GO:0019722;GO:0033554;GO:0043269;GO:0048731;GO:0050832;GO:0051592;GO:0070887,plant-type vacuole;mRNA binding;calcium ion binding;protein binding;nucleus;cytosol;microtubule;plasma membrane;response to oxidative stress;response to temperature stimulus;response to water deprivation;response to bacterium;response to salt stress;thigmotropism;response to abscisic acid;regulation of photomorphogenesis;regulation of metabolic process;calcium-mediated signaling;cellular response to stress;regulation of monoatomic ion transport;system development;defense response to fungus;response to calcium ion;cellular response to chemical stimulus,,,,
Xele.ptg000001l.556_1,RecName: Full=Sugar transporter ERD6-like 6 [Arabidopsis thaliana],sp|Q9FRL3.1|RecName: Full=Sugar transporter ERD6-like 6 [Arabidopsis thaliana],0.0E0,Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana,GO:0005634;GO:0005739;GO:0006829;GO:0009409;GO:0009414;GO:0009536;GO:0009651;GO:0009705;GO:0009737;GO:0010030;GO:0015145;GO:0015749;GO:0042593,nucleus;mitochondrion;zinc ion transport;response to cold;response to water deprivation;plastid;response to salt stress;plant-type vacuole membrane;response to abscisic acid;positive regulation of seed germination;monosaccharide transmembrane transporter activity;monosaccharide transmembrane transport;glucose homeostasis,,,,
Xele.ptg000001l.423_1,RecName: Full=Transcription factor bHLH68; AltName: Full=Basic helix-loop-helix protein 68; Short=AtbHLH68; Short=bHLH 68; AltName: Full=Transcription factor EN 60; AltName: Full=bHLH transcription factor bHLH068 [Arabidopsis thaliana],sp|Q8S3D1.2|RecName: Full=Transcription factor bHLH68 AltName: Full=Basic helix-loop-helix protein 68 Short=AtbHLH68 Short=bHLH 68 AltName: Full=Transcription factor EN 60 AltName: Full=bHLH transcription factor bHLH068 [Arabidopsis thaliana],7.2E-56,Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana,GO:0000978;GO:0003700;GO:0005515;GO:0005634;GO:0007165;GO:0009611;GO:0009639;GO:0009739;GO:0010629;GO:0042631;GO:0045893;GO:0048235;GO:0048766;GO:0048767;GO:0071215;GO:0071472;GO:2000214;GO:2000377,RNA polymerase II cis-regulatory region sequence-specific DNA binding;DNA-binding transcription factor activity;protein binding;nucleus;signal transduction;response to wounding;response to red or far red light;response to gibberellin;negative regulation of gene expression;cellular response to water deprivation;positive regulation of DNA-templated transcription;pollen sperm cell differentiation;root hair initiation;root hair elongation;cellular response to abscisic acid stimulus;cellular response to salt stress;regulation of proline metabolic process;regulation of reactive oxygen species metabolic process,,,,
Xele.ptg000001l.619_1,RecName: Full=LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 1.2; AltName: Full=Probable receptor-like serine/threonine-protein kinase LRK10L-1.2; Flags: Precursor [Arabidopsis thaliana],sp|P0C5E2.3|RecName: Full=LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 1.2 AltName: Full=Probable receptor-like serine/threonine-protein kinase LRK10L-1.2 Flags: Precursor [Arabidopsis thaliana],0.0E0,Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana,GO:0004672;GO:0005515;GO:0005886;GO:0009620;GO:0009741;GO:0009826;GO:0042631;GO:0048527;GO:0048573;GO:0071215,protein kinase activity;protein binding;plasma membrane;response to fungus;response to brassinosteroid;unidimensional cell growth;cellular response to water deprivation;lateral root development;photoperiodism, flowering;cellular response to abscisic acid stimulus,EC:2.7.1,Transferring phosphorus-containing groups,,
Xele.ptg000001l.205_1,RecName: Full=Abscisic acid receptor PYL8; AltName: Full=ABI1-binding protein 1; AltName: Full=PYR1-like protein 8; AltName: Full=Regulatory components of ABA receptor 3 [Arabidopsis thaliana],sp|Q9FGM1.1|RecName: Full=Abscisic acid receptor PYL8 AltName: Full=ABI1-binding protein 1 AltName: Full=PYR1-like protein 8 AltName: Full=Regulatory components of ABA receptor 3 [Arabidopsis thaliana],5.7E-93,Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana,GO:0004864;GO:0005634;GO:0005829;GO:0005886;GO:0006952;GO:0009705;GO:0009789;GO:0009867;GO:0010427;GO:0038023;GO:0042803;GO:0044389;GO:0062049;GO:0080163;GO:1902584,protein phosphatase inhibitor activity;nucleus;cytosol;plasma membrane;defense response;plant-type vacuole membrane;positive regulation of abscisic acid-activated signaling pathway;jasmonic acid mediated signaling pathway;abscisic acid binding;signaling receptor activity;protein homodimerization activity;ubiquitin-like protein ligase binding;protein phosphatase inhibitor complex;regulation of protein serine/threonine phosphatase activity;positive regulation of response to water deprivation,,,,
Xele.ptg000001l.356_1,RecName: Full=Nuclear transcription factor Y subunit B-8; Short=AtNF-YB-8 [Arabidopsis thaliana],sp|Q8VYK4.1|RecName: Full=Nuclear transcription factor Y subunit B-8 Short=AtNF-YB-8 [Arabidopsis thaliana],2.2E-36,Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana,GO:0000978;GO:0001228;GO:0003682;GO:0003712;GO:0005829;GO:0009408;GO:0009414;GO:0009738;GO:0009785;GO:0010262;GO:0016602;GO:0019760;GO:0040029;GO:0045723;GO:0045944;GO:0046982;GO:0048574,RNA polymerase II cis-regulatory region sequence-specific DNA binding;DNA-binding transcription activator activity, RNA polymerase II-specific;chromatin binding;transcription coregulator activity;cytosol;response to heat;response to water deprivation;abscisic acid-activated signaling pathway;blue light signaling pathway;somatic embryogenesis;CCAAT-binding factor complex;glucosinolate metabolic process;epigenetic regulation of gene expression;positive regulation of fatty acid biosynthetic process;positive regulation of transcription by RNA polymerase II;protein heterodimerization activity;long-day photoperiodism, flowering,,,,
Xele.ptg000001l.28_1,RecName: Full=Transcription factor MYB1; AltName: Full=Myb-related protein 1; Short=AtMYB1 [Arabidopsis thaliana],sp|Q42575.1|RecName: Full=Transcription factor MYB1 AltName: Full=Myb-related protein 1 Short=AtMYB1 [Arabidopsis thaliana],1.7E-83,Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana,GO:0000978;GO:0001228;GO:0001935;GO:0005819;GO:0005829;GO:0006357;GO:0006974;GO:0008285;GO:0009408;GO:0009414;GO:0009524;GO:0009555;GO:0009723;GO:0009737;GO:0009909;GO:0010183;GO:0010199;GO:0010262;GO:0010439;GO:0010929;GO:0016607;GO:0032465;GO:0032875;GO:0042742;GO:0042803;GO:0045691;GO:0045697;GO:0045892;GO:0045893;GO:0045995;GO:0048527;GO:0048579;GO:0051782;GO:0055089;GO:0070176;GO:0071367;GO:0080060;GO:0080113;GO:1900150;GO:1901001;GO:1901181;GO:1901347;GO:1901348;GO:1902074;GO:1904095;GO:1904961;GO:2000022;GO:2000031;GO:2000692;GO:2001280,RNA polymerase II cis-regulatory region sequence-specific DNA binding;DNA-binding transcription activator activity, RNA polymerase II-specific;endothelial cell proliferation;spindle;cytosol;regulation of transcription by RNA polymerase II;DNA damage response;negative regulation of cell population proliferation;response to heat;response to water deprivation;phragmoplast;pollen development;response to ethylene;response to abscisic acid;regulation of flower development;pollen tube guidance;organ boundary specification between lateral organs and the meristem;somatic embryogenesis;regulation of glucosinolate biosynthetic process;positive regulation of auxin mediated signaling pathway;nuclear speck;regulation of cytokinesis;regulation of DNA endoreduplication;defense response to bacterium;protein homodimerization activity;regulation of embryo sac central cell differentiation;regulation of synergid differentiation;negative regulation of DNA-templated transcription;positive regulation of DNA-templated transcription;regulation of embryonic development;lateral root development;negative regulation of long-day photoperiodism, flowering;negative regulation of cell division;fatty acid homeostasis;DRM complex;cellular response to brassinosteroid stimulus;integument development;regulation of seed growth;regulation of defense response to fungus;negative regulation of response to salt stress;negative regulation of cellular response to caffeine;negative regulation of secondary cell wall biogenesis;positive regulation of secondary cell wall biogenesis;response to salt;negative regulation of endosperm development;quiescent center organization;regulation of jasmonic acid mediated signaling pathway;regulation of salicylic acid mediated signaling pathway;negative regulation of seed maturation;positive regulation of unsaturated fatty acid biosynthetic process,,,,
Xele.ptg000001l.559_1,RecName: Full=Transcription factor MYB24; AltName: Full=Myb-related protein 24; Short=AtMYB24 [Arabidopsis thaliana],sp|Q9SPG9.1|RecName: Full=Transcription factor MYB24 AltName: Full=Myb-related protein 24 Short=AtMYB24 [Arabidopsis thaliana],5.5E-72,Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana,GO:0000976;GO:0003700;GO:0005515;GO:0005634;GO:0006723;GO:0006952;GO:0008219;GO:0009611;GO:0009620;GO:0009651;GO:0009723;GO:0009733;GO:0009737;GO:0009740;GO:0009809;GO:0009825;GO:0009867;GO:0009909;GO:0010053;GO:0010091;GO:0010224;GO:0010373;GO:0016036;GO:0035865;GO:0043266;GO:0045892;GO:0045893;GO:0048354;GO:0050826;GO:0055062;GO:0080086;GO:0080091;GO:0120195;GO:1900386;GO:1902074;GO:1903086;GO:1990841;GO:2000652,transcription cis-regulatory region binding;DNA-binding transcription factor activity;protein binding;nucleus;cuticle hydrocarbon biosynthetic process;defense response;cell death;response to wounding;response to fungus;response to salt stress;response to ethylene;response to auxin;response to abscisic acid;gibberellic acid mediated signaling pathway;lignin biosynthetic process;multidimensional cell growth;jasmonic acid mediated signaling pathway;regulation of flower development;root epidermal cell differentiation;trichome branching;response to UV-B;negative regulation of gibberellin biosynthetic process;cellular response to phosphate starvation;cellular response to potassium ion;regulation of potassium ion transport;negative regulation of DNA-templated transcription;positive regulation of DNA-templated transcription;mucilage biosynthetic process involved in seed coat development;response to freezing;phosphate ion homeostasis;stamen filament development;regulation of raffinose metabolic process;positive regulation of anther dehiscence;positive regulation of flavonol biosynthetic process;response to salt;negative regulation of sinapate ester biosynthetic process;promoter-specific chromatin binding;regulation of secondary cell wall biogenesis,,,,
Xele.ptg000001l.531_1,RecName: Full=Elongator complex protein 4; Short=AtELP4; AltName: Full=Elongator component 4; AltName: Full=Protein ELONGATA 1 [Arabidopsis thaliana],sp|Q9C778.1|RecName: Full=Elongator complex protein 4 Short=AtELP4 AltName: Full=Elongator component 4 AltName: Full=Protein ELONGATA 1 [Arabidopsis thaliana],2.2E-127,Arabidopsis thaliana,GO:0002098;GO:0005515;GO:0005737;GO:0006979;GO:0008023;GO:0008284;GO:0009737;GO:0010928;GO:0031538;GO:0033588;GO:0043609;GO:0071329;GO:2000024,tRNA wobble uridine modification;protein binding;cytoplasm;response to oxidative stress;transcription elongation factor complex;positive regulation of cell population proliferation;response to abscisic acid;regulation of auxin mediated signaling pathway;negative regulation of anthocyanin metabolic process;elongator holoenzyme complex;regulation of carbon utilization;cellular response to sucrose stimulus;regulation of leaf development,,,,
